nr,date,year,title,duration_min,notes,link
304,2024-05-08,2024,Lass das mal den Staat machen,82,"In der Schweiz ist der Staat, gemessen an der Wirtschaftsleistung, viel kleiner als in Deutschland und Österreich. Er kümmert sich um bestimmte Dinge gar nicht oder weniger. Ist das schlecht? Und kann es sein, dass in großen Sozialstaaten wie Österreich am Ende (fast) alles auf dem Staat abgeladen wird? Gerade seit der Corona-Pandemie haben sich die Erwartungen verändert. Wir diskutieren, wie der österreichische Staat so groß wurde, wie er ist, und warum in Deutschland vor 25 Jahren besonders hemmungslos privatisiert wurde.

Die 300. Folge von ""Servus. Grüezi. Hallo."", live vom Journalismusfest in Innsbruck.",https://www.zeit.de/gesellschaft/2024-05/verantwortung-staat-sozialstaat-oesterreich-schweiz-deutschland-alpenpodcast
305,2024-05-15,2024,Jetzt können die Schweizer auch noch singen,55,"Mit großem Abstand hat Nemo für die Schweiz den Eurovision Song Contest gewonnen, das erste Mal seit Céline Dion. Wie groß ist die Freude in der Schweiz? Und wie hat Deutschland es geschafft, diesmal tatsächlich nicht Letzter zu werden? Wir reden über den ESC, über den musikalischen Wert und die politischen Implikationen.

Außerdem bei ""Servus. Grüezi. Hallo."": An Unis in Deutschland und der Schweiz, zeitweise auch in Österreich, veranstalten Aktivistinnen und Aktivisten Proteste und Besetzungen, es geht ihnen um die Lage in Gaza. Unileitungen, Polizei und Politik gehen unterschiedlich hart dagegen vor. Was ist noch legitimer Protest, was strafbarer Antisemitismus?",https://www.zeit.de/gesellschaft/2024-05/esc-sieg-nemo-schweiz-alpenpodcast
306,2024-05-22,2024,Gemurkse und Gefurze,59,"Die grüne Spitzenkandidatin zur Europawahl, Lena Schilling, steht in Österreich unter Druck, nachdem Der Standard über ihren Umgang mit Gerüchten und Details aus ihrem Privatleben berichtet hat. Ist es angemessen, solche Dinge in die Öffentlichkeit zu zerren? Wir diskutieren, wie politisch das Private ist, warum in der Schweiz geschiedene Politiker lange keine Chance hatten, und wie einem deutschen Verteidigungsminister mal ein Pool-Bild auf Mallorca zum Verhängnis wurde.

Außerdem bei ""Servus. Grüezi. Hallo.:"" Es ist Eishockey-WM, Österreich ist erstaunlich gut drauf, und die Schweiz ist sowieso traditionell stark in dem Sport – warum eigentlich? Und wie beliebt ist Eishockey in Deutschland?",https://www.zeit.de/gesellschaft/2024-05/privatleben-politiker-europawahl-eishockey-wm-alpenpodcast
307,2024-05-29,2024,Auf dem Schweizer Friedensgipfel,61,"Badewannen mit Seeblick, riesiger Spa-Bereich, Weinkeller und Tennishallen: Für all das werden die Regierungsvertreterinnen und Regierungsvertreter kaum Zeit haben, wenn sie sich Mitte Juni im Resort Bürgenstock treffen, einem Luxushotel auf einem Berg bei Luzern. Dort soll es nämlich um einen möglichen Frieden in der Ukraine gehen. Wer ist alles dabei, warum findet der Gipfel in der Schweiz statt, und war und ist die (mehr oder weniger) neutrale Haltung der Schweiz und Österreichs also doch richtig, wenn sie dann als neutrale Makler auftreten können?

Außerdem bei ""Servus. Grüezi. Hallo."": Dadaistische Schuhwerbung aus Österreich, lila Kühe, Kräuterbonbons und sonstiger Alpenkitsch aus der Schweiz, Waschmittelidylle, Haarspray und das unvermeidliche ""Frauengold"" aus Deutschland – wir reden über die denkwürdigsten Werbespots aus unseren Ländern. Und darüber, warum es solche heute kaum noch gibt.",https://www.zeit.de/gesellschaft/2024-05/ukraine-friedensgipfel-schweiz-oesterreich-neutralitaet-alpenpodcast
308,2024-06-05,2024,Kinder hinter Gittern?,59,"Grausame Fälle von Gewalttaten durch Kinder machen in Österreich Schlagzeilen. Minister fordern, dass auch unter 14-Jährige verurteilt werden können sollen. Ist das Symbolpolitik oder hilft es tatsächlich? In der Schweiz sollte man es wissen, denn dort stehen schon Zehnjährige vor Gericht. Allerdings geht es bei ihnen nicht um Strafen, sondern eher um Umerziehung. Wir diskutieren, ab wann Kinder strafmündig sein sollten.

Außerdem bei Servus. Grüezi. Hallo.: In Deutschland fürchten Musikschulen um ihre Zukunft. Sie müssten ihre Lehrer wegen eines Gerichtsurteils fest anstellen, statt sie auf Honorarbasis zu beschäftigen. Das können sie sich nicht leisten. Wir diskutieren mögliche Lösungen, schauen in die gute Musikschulinfrastruktur in der Schweiz und erzählen von der wichtigen Rolle der Musikkapellen bei der Ausbildung in Österreich.",https://www.zeit.de/gesellschaft/2024-06/strafmuendigkeit-alter-gewalt-kinder-oesterreich-schweiz-alpenpodcast
309,2024-06-12,2024,Wenn Österreich brennt,60,"Rechte Parteien waren bei der Europawahl in Österreich und Deutschland sehr erfolgreich. Aber nicht nur sie: In Österreich schnitten die Neos gut ab, in Deutschland Volt und andere Kleinparteien. Wir schauen auf die Ergebnisse der Wahl und auf ihre überraschendsten Aspekte, und fragen, was sie für die Schweiz bedeuten.

Außerdem bei ""Servus. Grüezi. Hallo."": Wir tauchen ab in den Kaninchenbau der Flaggenordnungen. Welche Flagge darf man an welchem Tag hissen, und wie zieht man die eigentlich richtig hoch? Dürfen Schulen die Regenbogenflagge raushängen, und was hat es mit dem fränkischen Flaggenstreit auf sich?",https://www.zeit.de/gesellschaft/2024-06/wahlergebnisse-alpenlaender-europa-rechtspopulismus-alpenpodcast
310,2024-06-19,2024,Im Grunde hassen wir uns eh,51,"Ein Bundeskanzler, der seine eigene Ministerin verklagen will, eine Regierungskoalition, die lieber Briefe nach Brüssel schreibt, statt sich untereinander zu einigen, und ein Land, das sich nun auf einige Monate heftigsten Wahlkampf freuen darf: In Österreich ist wieder was los. Auslöser ist die Zustimmung der grünen Ministerin Leonore Gewessler zum EU-Renaturierungsgesetz.

Zweites Thema bei Servus. Grüezi. Hallo.: Die Fußball-EM hat begonnen, und die Stimmung ist vielleicht nicht gleich so märchenhaft wie herbei geraunt, aber doch ziemlich gut. Was nur in kleineren Teilen an den Ergebnissen der Mannschaften aus Deutschland, Österreich und der Schweiz liegt und zu größeren an den vielen gut gelaunten Fußballfans in deutschen Innenstädten.",https://www.zeit.de/gesellschaft/2024-06/wahlkampf-oesterreich-eu-renaturierungsgesetz-regierung-alpenpodcast
311,2024-06-26,2024,Geht uns nicht auf den Sender,60,"Deutsche EM-Spiele auf deutschen Sendern, englische auf englischen Sendern: Für Schweizer Zuschauer geht das, sie können recht einfach ausländische Fernsehkanäle empfangen. Auch in Österreich schaut man selbstverständlich ARD und ZDF. Als Deutscher aber scheitert man brutal am Geoblocking, SRF ist völlig unzugänglich, ORF nur umständlich und in einer traurigen Sparversion empfangbar. Woran liegt das? Sind die Schweizer oder Österreicher Trittbrettfahrer der deutschen Gebührenzahler? Oder können die Deutschen froh sein, dass ihre Programme so beliebt sind?

Außerdem bei Servus. Grüezi. Hallo.: Was die neuen EU-Renaturierungsvorgaben für Deutschland und Österreich bedeuten, ob sie gegen die vielen Hochwasser helfen können, und wie berechtigt der Widerstand der Bauern dagegen ist. Auch in der Schweiz bemüht sich eine Initiative um mehr Renaturierung, hat sie gegen die Bauernlobby eine Chance?",https://www.zeit.de/serie/servus-gruezi-hallo
312,2024-07-03,2024,Wir lieben diese Gockel,61,"Frankreich wählt, und während man in der Schweiz und in Deutschland ganz besonders hinschaut, ist man in Wien schon sehr weit weg. Wir reden über unser Verhältnis zu Frankreich, über die deutsch-französische Aussöhnung, über Paris als Sehnsuchtsort und unsere enge wirtschaftliche Verflechtung. Und darüber, ob Frankophilie langsam nur noch was für ältere Männer ist.

Außerdem bei Servus. Grüezi. Hallo.: Wegen einer neuen EU-Richtlinie müssen ab sofort in Deutschland und Österreich die Deckel an Plastik-Getränkeflaschen dranbleiben. Das soll das Recycling verbessern. Pikst man sich jetzt beim Trinken ins Auge? In bestimmten Milieus jedenfalls lösen die Deckel schon so viel Wut aus wie einst die Wärmepumpe. Warum nur?",https://www.zeit.de/gesellschaft/2024-07/verhaeltnis-frankreich-deutschland-schweiz-oesterreich-wahlen-alpenpodcast
313,2024-07-10,2024,Was soll Bayern?,88,"Formal gehört Bayern zu Deutschland, aber passt das wirklich? Wir diskutieren beim Liveauftritt im Volkstheater in München die Eigenarten dieses besonderen Bundeslands und seine Beziehungen zu den Nachbarn. Aus österreichischer Sicht ist Bayern nicht mehr Österreich, aber auch noch nicht richtig Ausland. Aus Schweizer Sicht ist Bayern erstaunlich weit weg. Wie schneidet München im Vergleich zu Wien und Zürich ab?

Außerdem bei ""Servus. Grüezi. Hallo."": Funktioniert eigentlich der Föderalismus noch in unseren Ländern? Österreichische Bundesländer haben kaum Kompetenzen, aber trotzdem alle Macht. Deutsche Bundesländer schimpfen über die Bundespolitik und verstecken sich zugleich hinter ihr. Und in der Schweiz sind die Kantone teils unpraktisch klein. Was müsste man ändern?",https://www.zeit.de/gesellschaft/2024-07/foederalismus-bayern-oesterreich-schweiz-alpenpodcast
314,2024-07-17,2024,Österreich hat ein Problem mit Frauen,69,"Kaiserliche Prachtbauten und malerische Alpen prägen das Bild von Österreich. Aber große Teile des Landes sind gar nicht so. Sondern zum Beispiel so wie die Steiermark. Von dort kommt Christina Pausackl, stellvertretende Büroleiterin im Wiener Büro der ZEIT, die diese Woche Florian Gasser im Podcast vertritt. Sie nutzt die Chance, um zu erzählen, ob man in Österreich eigentlich übersehen wird, wenn man nicht aus Tirol oder Wien kommt. Und wir reden darüber, ob sie die Lebensverhältnisse in der Stadt und auf dem Land wirklich angleichen sollten.

Außerdem bei Servus. Grüezi. Hallo.: In Österreich gibt es besonders viele Femizide, also Morde an Frauen. Warum ist das so? Wir reden über die Gesetze, die eigentlich gut sind, über die fehlende Strategie der Polizei, und über eine Kultur, die Gewalt und Übergriffe gegen Frauen weiterhin ermöglicht.",https://www.zeit.de/gesellschaft/2024-07/oesterreich-schweiz-gesellschaft-femizide-alpenpodcast
315,2024-07-31,2024,So viele Politiker brauchen wir gar nicht,58,"Warum streitet Deutschland seit Jahren über die komplizierten Details des Wahlrechts? Das Bundesverfassungsgericht hat die Reform der Ampel in größeren Teilen genehmigt und in kleineren geändert. Wir diskutieren, was das für das deutsche Parlament bedeutet, wie wichtig regionale Repräsentation ist, und warum das alles in Österreich zwar kein Thema ist, das aber auch nicht unbedingt besser ist.

Außerdem bei der binationalen Ausgabe von Servus. Grüezi. Hallo.: Was ist so faszinierend an Olympia und welche Rolle spielen die Sommerspiele überhaupt in Ländern, die vor allem im Schnee erfolgreich sind?",https://www.zeit.de/gesellschaft/2024-07/wahlrecht-deutschland-bundestag-bundesverfassungsgericht-oesterreich-repraesentation-alpenpodcast
316,2024-08-07,2024,Ihr habt ja einen Vogel!,66,"Nüchtern, pragmatisch und sachorientiert: So sehen sich die Schweizerinnen und Schweizer gerne selbst. Ein Faible für Religion passt da nicht so recht ins Bild. Sarah Jäggi, stellvertretende Büroleiterin im Zürcher Büro der ZEIT, vertritt diese Woche Matthias Daum im Podcast. Sie nutzt die Chance und erklärt uns, wie wichtig die verschiedenen Religionen auch für die moderne Schweiz sind und wie stark ihr Einfluss nach wie vor ist.

Und wir sprechen darüber, wie Jäggi zur Hobbyornithologin wurde, was sie beim Birdwatching alles erlebt und warum Vögel das Leben einfach besser machen.",https://www.zeit.de/gesellschaft/2024-08/religion-schweiz-alpenpodcast-voegel
317,2024-08-14,2024,"Touri, go home!",57,"Wohnungsnot und Spritzpistolen gegen Gäste: Immer mehr Orte und Städte wehren sich gegen den überbordenden Tourismus. Gibt es solche Tendenzen auch in Österreich und der Schweiz, kann man dagegen überhaupt etwas unternehmen, und was hat das alles mit koreanischen Fernsehserien zu tun?

Und wir sprechen darüber, warum manche von uns ihren Urlaub auf Campingplätzen verbringen – eine Vorstellung, die anderen Albträume beschert.

Den Österreichnewsletter ""Gemischter Satz"" können Sie hier abonnieren.",https://www.zeit.de/politik/2024-08/tourismus-alpen-camping-alpenpodcast
318,2024-08-21,2024,Warum der Dalai Lama Stammgast in der Schweiz ist,55,"Der Dalai Lama besucht am Wochenende die Schweiz – schon wieder. Das Land hat besondere Beziehungen zu den Tibetern und ihrem Oberhaupt aufgebaut. Man wollte ein antikommunistisches Zeichen setzen. Aber verärgert man damit nicht das immer mächtiger werdende China? Wir reden über unsere Beziehungen zu Tibet, über den österreichischen Bergsteiger und Freund des Dalai Lama, Heinrich Harrer, und darüber, warum er auch ständig in Hessen ist.

Außerdem bei Servus. Grüezi. Hallo.: Welche Strafen bei uns darauf stehen, Wespen zu töten. Und ob man sich deshalb an der Kaffeetafel nicht mehr gegen sie wehren darf.

Auf X sind wir als @mattthiasdaum, @floriangasser und @jalenz unterwegs. Auf Instagram als @lenzjacobsen, @matthiasdaum und @florian_gasser. Chice Tassen, noch schickere T-Shirts und anderen leiwanden Krams mit unserem ""Servus. Grüezi. Hallo.""-Logo können Sie hier kaufen.

Die Österreich- und Schweizausgabe der ZEIT können Sie hier abonnieren.

Ab dem 15.1.2025 sind Teile des Archivs von “Servus. Grüezi. Hallo.” nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf zeit.de, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2024-08/dalai-lama-schweiz-tibet-china-alpenpodcast
319,2024-08-28,2024,Ösi oder Ossi?,52,"Das Attentat von Solingen könnte die Wahlen in Sachsen und Thüringen beeinflussen. Um was geht es bei den Wahlen, könnten die Länder wirklich unregierbar werden, und wie pauschal ist eigentlich die Debatte über die politischen Zustände im Osten? Wir streiten über Vergleiche zu Österreich und darüber, wie gut auch der journalistische Umgang ist.

Außerdem bei Servus. Grüezi. Hallo.: Autokennzeichen. Die Schweiz verdient bisher mit Versteigerungen Millionen, in Österreich und Deutschland kann man sich Wunschkennzeichen für kleines Geld besorgen. Dafür haben in Deutschland kleinere Städte hart gegen die Eingemeindung in größere Kennzeichengebiete gekämpft.

Auf X sind wir als @mattthiasdaum, @floriangasser und @jalenz unterwegs. Auf Instagram als @lenzjacobsen, @matthiasdaum und @florian_gasser. Chice Tassen, noch schickere T-Shirts und anderen leiwanden Krams mit unserem ""Servus. Grüezi. Hallo.""-Logo können Sie hier kaufen.

Die Österreich- und Schweizausgabe der ZEIT können Sie hier abonnieren.

Ab dem 15.1.2025 sind Teile des Archivs von “Servus. Grüezi. Hallo.” nur noch exklusiv mit einem Digitalabo der ZEIT zu hören – auf zeit.de, auf Apple Podcasts und auf Spotify. Ein kostenloses Probeabo können Sie hier abschließen. Wie Sie ihr Abo mit Spotify oder Apple Podcasts verbinden, lesen Sie hier.",https://www.zeit.de/gesellschaft/2024-08/oesterreich-ostdeutschland-vergleich-landtagswahlen-alpenpodcast
320,2024-09-04,2024,"Hauptsache, die anderen sind die Deppen",60,"30 Prozent gewinnen SVP und FPÖ schon länger in der Schweiz und in Österreich. Aber ist das mit dem zu vergleichen, was jetzt in Sachsen und Thüringen passiert ist? Was Regierungsbeteiligungen mit rechtspopulistischen und rechtsextremen Parteien machen und warum es nicht reicht, nur auf die anderen Parteien zu schimpfen, besprechen wir in der neuen Folge ""Servus. Grüezi. Hallo.""

Außerdem: Was die Entstehung des Behindertensports mit den Weltkriegen zu tun hat. Wir schauen Paralympics und sprechen über die Bedeutung von Behindertensport in unseren Ländern.",https://www.zeit.de/gesellschaft/2024-09/erfolg-rechtspopulismus-afd-oesterreich-schweiz-alpenpodcast
321,2024-09-11,2024,"Direkte Demokratie? Macht 7,50 Franken, bitte",60,"Private Unternehmen lassen sich in der Schweiz dafür bezahlen, Unterschriften für Volksinitiativen und Referenden zu sammeln. Nun ist bekannt geworden, dass sie dabei nicht immer sauber gearbeitet haben: Unterschriften wurden immer wieder gefälscht. Das wäre doch ein Anlass, um die Verfahren der direkten Demokratie zu modernisieren. Und es ist für uns ein Anlass, um über die Robustheit der so gerühmten Schweizer Abstimmungsdemokratie zu diskutieren.

Außerdem bei Servus. Grüezi. Hallo.: Warum Österreich und Deutschland so viel mehr Städtepartnerschaften haben als die Schweiz. Wir erzählen von den ersten Städtepartnerschaften im Mittelalter und davon, was diese Bündnisse heute noch bedeuten, da es so unendlich viele davon zu geben scheint.",https://www.zeit.de/gesellschaft/2024-09/direkte-demokratie-schweiz-betrug-unterschriften-alpenpodcast
322,2024-09-18,2024,Blümchensex in Gummistiefeln,53,"Der Bundeskanzler leitet Krisenstäbe, sein Konkurrent von der FPÖ steht etwas hilflos daneben: Das Hochwasser verändert den Wahlkampf in Österreich. Aber ausgerechnet die Grünen sind dabei besonders zahm. So, wie es bei vergangenen Hochwassern auch die deutschen Grünen waren. Ist das angemessen? Zahm sind jedenfalls auch diejenigen, die in der Schweiz für die Biodiversitätsinitiative kämpfen, die an diesem Wochenende zur Abstimmung steht.

Außerdem bei Servus. Grüezi. Hallo.: Junge Männer benutzen immer seltener Kondome. Woran kann das liegen und was würde dagegen helfen? Wir diskutieren die Pille für den Mann und staatlich bezahlte Verhütungsmittel.",https://www.zeit.de/gesellschaft/2024-09/oesterreich-hochwasser-wahlkampf-alpenpodcast
323,2024-09-25,2024,Alles außer Kickl,58,"Wahlkämpfe könnten ja eigentlich die Zeit sein, in der ein Land über die wirklich entscheidenden Themen streitet. Und nicht nur über das, was sich am leichtesten emotionalisieren lässt. Wir versuchen es mal, ausgerechnet in Österreich, wo am Sonntag gewählt wird: Um welche Themen sollte es wirklich gehen? Und wie kann es sein, dass dann doch alle nur über den FPÖ-Chef Herbert Kickl und seine Stunts reden?

Außerdem bei Servus. Grüezi. Hallo.: In Zürich ist Rad-WM, und Teile der Stadt sind von den tagelangen Sperrungen genervt. Während andere sich über einen möglichen touristischen Effekt freuen. Sind solche Großveranstaltungen ein Segen für eine Stadt oder ein Fluch?",https://www.zeit.de/gesellschaft/2024-09/oesterreich-wahl-herbert-kickl-alpenpodcast
324,2024-10-02,2024,"Österreich, von rechts paniert",56,"Die FPÖ hat die Wahlen in Österreich gewonnen, aber auf die zweitplatzierte ÖVP kommt es jetzt an. Denn sie könnte eine Koalition ohne FPÖ-Chef Herbert Kickl bilden, zum Beispiel mit Sozialdemokraten in und Neos. Es wäre die erste Dreier-Koalition der Geschichte des Landes, und die Sorge davor, so zu enden wie die deutsche Ampel sind groß. Wir diskutieren die Regierungsbildung und fragen uns auch, ob die 21 Prozent für die Sozialdemokraten ein schlechtes Ergebnis sind – oder ob es vielleicht einfach nie mehr besser wird, auch in anderen Ländern.

Außerdem bei ""Servus. Grüezi. Hallo."": Die Kürbisschwemme auf den Speisekarten und Feldern. Warum ist das Gemüse in Deutschland, Österreich und der Schweiz so beliebt geworden und erzeugt so viel Hass? Und haben wir das richtig verstanden, dass Adele bei einem Kürbisfest in der Schweizer Provinz aufgelaufen ist!?",https://www.zeit.de/gesellschaft/2024-10/wahlen-oesterreich-regierungsbildung-alpenpodcast
325,2024-10-09,2024,"Der Schah, die Mullahs und Wir",62,"Weil die Schweiz ein ""Schutzmachtmandat"" hat, vertritt sie im Iran die Interessen der USA. Ist sie deshalb besonders nachsichtig mit den Mullahs? Wir diskutieren das Verhältnis unserer Länder zum Iran. Schon zu Zeiten des Schahs flohen viele Iraner nach Deutschland, und besonders viele von ihnen machten hier besondere Karrieren.

Außerdem bei Servus. Grüezi. Hallo.: Der Niedergang des Briefmarkensammelns. Wir sprechen über die teuersten Marken aus unseren Ländern, über Zürcher Philatelieredaktoren und über die Frage, ob es eigentlich eine Kulturtechnik ist, Briefmarken abzulecken.",https://www.zeit.de/gesellschaft/2024-10/beziehungen-iran-schweiz-oesterreich-deutschland-alpenpodcast
326,2024-10-16,2024,Kein Applaus für Scheiße,54,"Die Regierungsbildung in Österreich kommt nur langsam voran, aber absehbar ist, dass es eigentlich ein Dreierbündnis zum Regieren bräuchte – und das Land das eigentlich nicht will. Aber wie sehr sollten einem Wahlversprechen im Wege stehen, wenn es darum geht, Herbert Kickl von der Macht abzuhalten? Wir diskutieren in dieser bilateralen Sendung, was sich aus deutschen Dreierkoalitionen lernen lässt – es gibt nämlich auch erfolgreiche. Und ob vielleicht auch Wählerinnen und Wähler mehr Kompromisse in Kauf nehmen müssen.

Außerdem bei ""Servus. Grüezi. Hallo."": Wie die Berliner Landesregierung ihren Lehrern Klassenfahrten erschwert und wo deutsche und österreichische Schüler überhaupt hinfahren. Sind Skilager noch angebracht? Was ist mit denen, die sich keine Klassenfahrten leisten können?",https://www.zeit.de/gesellschaft/2024-10/regierungsbildung-oesterreich-herbert-kickl-alpenpodcast
327,2024-10-23,2024,Wir sind euch ausgeliefert,58,"Ein Schweizer verschickt Bombendrohungen in Österreich, wird aber in seiner Heimat nicht mal festgenommen. Wir nehmen das zum Anlass, um über Auslieferungen zu sprechen. Darüber, wie hoch die Hürden dafür sind, dass Länder eigene Staatsbürger ausliefern. Und welche schillernden Verbrecher sich in der Vergangenheit im Ausland für den schweizerischen, deutschen oder österreichischen Behörden versteckt haben.

Außerdem bei ""Servus. Grüezi. Hallo."": Wie verbreitet Dashcams bei uns sind und was davon zu halten ist. Machen sie den Straßenverkehr sicherer oder sind sie ein Beweis dafür, dass wir uns alle längst misstrauen?",https://www.zeit.de/gesellschaft/2024-10/verbrecher-dach-staaten-auslieferungen-schweiz-oesterreich-alpenpodcast
328,2024-11-06,2024,"Achtung, ein Satansröhrling!",65,"Sender werden gestrichen oder ins Internet verlegt, Sportrechte dürfen nicht noch mehr Geld kosten und der Gebührenanstieg soll neu neu geregelt werden: In Deutschland stehen größere Reformen des öffentlich-rechtlichen Rundfunks an. Auch in der Schweiz muss die neue SRG-Chefin sparen, und in Österreich würde die stärkste Partei den ORF am liebsten ganz abschaffen. Wir diskutieren, welche Art von Medien öffentlich finanziert werden sollten und was die jetzigen Reformkonzepte taugen.

Außerdem bei ""Servus. Grüezi. Hallo."": Der Schweiz fehlen die Pilzkontrolleure, und in der Folge steigt die Zahl der Pilzvergiftungen. Wie unterscheidet man die giftigen von den ungiftigen und wie viele Pilze darf man in Tirol oder Thüringen so sammeln?",https://www.zeit.de/gesellschaft/2024-11/pilzkontrolle-schweiz-oerr-alpenpodcast
329,2024-11-13,2024,Und wie nah steht ihr am Abgrund?,88,"Jetzt ist es wirklich passiert: Die Regierungskoalition in Deutschland ist zerbrochen, und danach ist so einiges unklar. Musste es so kommen? Wie jetzt damit umgehen? Und wie sieht das Drama eigentlich aus der ruhigen Schweiz und dem abgehärteten Österreich aus? Wie nah steht man dort am Abgrund?

Wir haben beim Liveauftritt am 8. November in Zürich über das Ende der Ampel diskutiert, aber auch über die USA, aus Anlass der Trump-Wahl: Wie ist unser Verhältnis zu den Vereinigten Staaten? Es geht um die Schweizer Sister Republic und um österreichische Gemütlichkeit, um Reeducation und Antiamerikanismus.",https://www.zeit.de/gesellschaft/2024-11/politische-umbrueche-ampelkoalition-usa-schweiz-alpenpodcast
330,2024-11-20,2024,Ist Politik eh nur Show?,61,"Hinterbühne und Vorderbühne: Die FDP hat den Bruch der Koalition in Deutschland bewusst vorangetrieben und inszeniert. Was genau macht dieses Vorgehen problematisch, und wie unterscheidet es sich von sonstigen Inszenierungen in der Politik, die ja auch in der Schweiz und erst recht in Österreich alltäglich sind?

Außerdem bei ""Servus. Grüezi. Hallo."": Die Schweiz stimmt über den Ausbau von Autobahnen ab. Einerseits ist das wegen der wachsenden Bevölkerung nachvollziehbar, andererseits führen mehr Straßen zu mehr Verkehr. In Deutschland wiederum hätte man gern solche Probleme, hier verfällt die Infrastruktur.",https://www.zeit.de/gesellschaft/2024-11/bruch-ampelkoalition-fdp-plaene-alpenpodcast
331,2024-11-27,2024,Elon und die Österreicher,53,"Ludwig von Mises, Friedrich August von Hayek, Schumpeter: Österreichische Wirtschaftswissenschaftler aus der ersten Hälfte des 20. Jahrhunderts sind zu den Säulenheiligen moderner Rechtslibertärer geworden. Elon Musk verehrt sie, Teile der US-Republikaner, aber auch der FPÖ und der AfD. Warum sind diese Denker wieder aktuell?

Beim Auftritt auf der Buch Wien erzählen wir, was diese österreichische Schule ausmacht und warum sie gerade in Wien entstanden ist. Später haben sich ihre Vertreter auf einem Gipfel in der Schweiz getroffen, und auch die deutsche soziale Marktwirtschaft ist von ihnen geprägt.",https://www.zeit.de/gesellschaft/2024-11/oesterreichische-schule-elon-musk-buch-wien-alpenpodcast
332,2024-12-04,2024,Schumpeters Rache,57,"Ein Motorradhersteller geht pleite, viele andere Firmen rutschen ab: In Österreich geht es der Industrie immer schlechter. Und schuld daran ist zumindest teilweise Deutschland. Der große Nachbar zieht die kleinen Länder mit runter. Aber gilt das auch für die Schweiz? Wer trägt die Verantwortung für die Krise, oder handelt es sich eher um Disruption?

Außerdem bei ""Servus. Grüezi. Hallo."": Österreichische Skifahrer starten für Grenada oder Moldau, und Deutschland hat mal einen südafrikanischen Fußballer in wenigen Wochen eingebürgert: Warum wechseln Sportler die Nationalität? Und was macht das mit unserer emotionalen Bindung an den Sport?",https://www.zeit.de/gesellschaft/2024-12/industriekrise-deutschland-oesterreich-schweiz-vw-alpenpodcast
333,2024-12-11,2024,Was die Ärmsten uns wert sind,59,"Für welche Entwicklungsprojekte sollten die Schweiz, Österreich und Deutschland Geld zahlen? In Bern hat das Parlament gerade das entsprechende Budget zusammengestrichen. In Deutschland wurden vor Monaten vermeintliche Millionenzahlungen für Radwege in Peru skandalisiert. Nur ausgerechnet in Österreich ist es erstaunlich ruhig um das Thema. Wir diskutieren, ob es einen Unterschied zwischen Nächsten- und Fernstenliebe gibt.

Außerdem bei ""Servus. Grüezi. Hallo."": Wien ist nicht mehr die lebenswerteste Stadt der Welt – sondern Zürich. Was ist von diesem Ranking zu halten? Und wie sehr krazt das am Selbstbild der Wiener?",https://www.zeit.de/gesellschaft/2024-12/entwicklungszusammenarbeit-schweiz-budget-alpenpodcast
334,2024-12-18,2024,Der Tod der schwäbischen Hausfrau,54,"Für 2024 hatten wir unter anderem prognostiziert, dass Andreas Babler für die SPÖ in Österreich Kanzler wird und die Deutschen genug von der AfD haben. Tja. Weil es vergangenes Jahr nicht geklappt hat, versuchen wir es dieses Jahr wieder und stellen Thesen für 2025 auf. Es geht um die Frauen-Fußball-EM, um die Nato, um Herbert Kickl und um die Schuldenbremse und eine kleine Partei namens Volt in Deutschland.

Außerdem bei ""Servus. Grüezi. Hallo."": Geschenketipps, also vor allem Büchertipps, zu Weihnachten. Wir stellen eine Art Enzyklopädie des Fressens in der Schweiz vor, die nachgelassenen Geschichten der verstorbenen österreichischen Autorin Helena Adler und ein kleines Büchlein über Fußballhass.

Helena Adler: Miserere. Jung und Jung, Salzburg 2024, 72 S., € 16,-

Stephan Roiss: Laut. Jung und Jung, Salzburg 2024, 240 S., € 23,-

Gabor Fonyad: Was noch kommt. Elster und Salis, Wien 2024, 216 S., € 24,-

Max Oravin: Toni & Toni. Droschl, Graz-Wien 2024, 112 S., € 21,-

Sebastian Hackenschmidt/Stefan Oláh: 95 Wiener Würstelstände. Verlag Anton Pustet, Salzburg 2024, 160 S., € 28,-

Paul Imhof: Das kulinarische Erbe der Schweiz. Echtzeit, Basel 2024, 776 S., € 78,-

Hermann Burger: Die künstliche Mutter. Nagel & Kimche, Zürich 2014, € 16,-

Barbi Marković: Piksi-Buch. Voland & Quist, € 12,-

Timon Karl Kaleyta: Heilung. Piper, € 22,-

Clemens Meyer: Die Projektoren, S. Fischer, € 36,-

Musik:

Musik: Mira Lu Kovacs: Save Yourself.

Stefan Rusconi: Solace.

Podcast ""Becoming the Beatles""

Podcast ""Teurer Fahren"" über die Deutsche Bahn",https://www.zeit.de/gesellschaft/2024-12/jahresausblick-2025-nato-herbert-kickl-alpenpodcast
